,TOTAL,,,,NON - HISPANIC WHITE,,BLACK,,AMERICAN INDIAN & ALASKA NATIVE,,ASIAN,,NATIVE HAWAIIAN & OTHER PACIFIC ISLANDER,,TWO OR MORE RACES,,HISPANIC WHITE,,HISPANIC ALL OTHER,
4760 Retail salespersons 4760 (SOC 41-2031),"9,480",679,100,0.4,12.8,2.3,69.8,3.9,0,0.4,3.2,1.1,0,0.4,4.2,1.6,5.4,2.4,4.6,1.6
          Male,"4,705",535,49.6,4.1,5.6,1.6,37.1,3.8,0,0.4,1.6,0.9,0,0.4,2,1.8,2.1,1.4,1.2,0.8
          Female,"4,770",499,50.3,4.2,7.2,1.6,32.7,3.7,0,0.4,1.6,0.8,0,0.4,2.2,1.8,3.3,1.9,3.4,1.2
4800 Advertising sales agents 4800 (SOC 41-3011),475,178,100,7.6,23.2,14.6,65.3,20.5,0,7.6,2.1,3.9,0,7.6,5.3,28.4,4.2,7,0,7.6
          Male,180,103,37.9,17.1,9.5,8.9,16.8,11.6,0,7.6,2.1,3.9,0,7.6,5.3,28.4,4.2,7,0,7.6
          Female,295,140,62.1,16.7,13.7,12.3,48.4,19.3,0,7.6,0,7.6,0,7.6,0,7.6,0,7.6,0,7.6
4810 Insurance sales agents 4810 (SOC 41-3021),630,194,100,5.8,27.8,12.7,52.4,15.8,0,5.8,0.6,1.6,0,5.8,0,5.8,10.3,7.7,7.9,7.1
          Male,235,95,37.3,11.9,12.7,8.7,18.3,10,0,5.8,0.6,1.6,0,5.8,0,5.8,5.6,4.4,0,5.8
          Female,395,149,62.7,11.9,15.1,9.9,34.1,14.3,0,5.8,0,5.8,0,5.8,0,5.8,5.6,4.8,7.9,7.1
"4820 Securities, commodities, and financial services sales agents 4820 (SOC 41-3031)",605,166,100,6,24,12.5,68.6,14.3,0,6,0.7,3,0,6,0,6,0,6,6.6,8
          Male,240,83,39.7,13.6,9.9,7.2,24,11.7,0,6,0.7,3,0,6,0,6,0,6,5,7.5
          Female,370,151,61.2,13.7,14,11.2,44.6,15.4,0,6,0,6,0,6,0,6,0,6,1.7,2.9
4830 Travel agents 4830 (SOC 41-3041),300,148,100,11.7,36.7,26.8,45,22.5,0,11.7,11.7,9.6,0,11.7,8.3,43.8,0,11.7,0,11.7
          Male,20,26,6.7,8.9,3.3,6.4,3.3,5.5,0,11.7,0,11.7,0,11.7,0,11.7,0,11.7,0,11.7
          Female,275,146,91.7,9.5,31.7,27.4,41.7,21.7,0,11.7,11.7,9.6,0,11.7,8.3,43.8,0,11.7,0,11.7
"4840 Sales representatives, services, all other 4840 (SOC 41-3099)","1,305",261,100,2.8,21.1,7.9,64.4,8.2,1.1,2.3,3.8,4.1,0,2.8,4.9,10.7,3.1,3.9,1.1,1.8
          Male,765,208,58.6,9.5,10.7,6.1,39.1,9.9,0,2.8,3.1,3.5,0,2.8,3.4,10.5,1.1,1.5,1.1,1.8
          Female,535,152,41,9.5,10,5.6,25.3,8.6,1.1,2.3,0.8,1.5,0,2.8,1.5,10.4,2.3,3.5,0,2.8
"4850 Sales representatives, wholesale and manufacturing 4850 (SOC 41-4010)","1,885",324,100,2,23.3,7.2,58.4,8.8,0,2,6.6,4.5,2.1,3.1,2.7,7.1,2.7,2.3,4.2,3.3
          Male,"1,220",245,64.7,7.6,15.4,5.8,38.7,7.8,0,2,5.3,3.9,0,2,0.2,6.7,2.7,2.3,2.4,2.4
          Female,665,187,35.3,7.6,8,4,19.6,6.7,0,2,1.6,1.8,2.1,3.1,2.4,7.2,0,2,1.9,2.2
"4900 Models, demonstrators, and product promoters 4900 (SOC 41-9010)",140,82,100,23.2,28.6,29.6,67.9,29.6,0,23.2,0,23.2,0,23.2,2.9,90.7,0,23.2,0,23.2
          Male,15,21,10.7,15.2,0,23.2,7.1,12.2,0,23.2,0,23.2,0,23.2,2.9,181.4,0,23.2,0,23.2
          Female,125,80,89.3,14.4,28.6,29.6,60.7,30.8,0,23.2,0,23.2,0,23.2,0,23.2,0,23.2,0,23.2
4920 Real estate brokers and sales agents 4920 (SOC 41-9020),"2,460",413,100,1.5,20.1,6.2,71.7,7.5,0,1.5,1.8,1.6,0,1.5,1,7.4,3.5,4,1.8,2.1
          Male,945,191,38.4,6.7,7.5,3.9,27.4,6.1,0,1.5,1.4,1.5,0,1.5,0.6,0.8,0,1.5,1.2,1.9
          Female,"1,515",343,61.6,6.7,12.6,5.2,44.3,8.1,0,1.5,0.4,0.5,0,1.5,0.4,5.2,3.5,4,0.6,0.8
4930 Sales engineers 4930 (SOC 41-9031),15,22,100,82.2,100,82.2,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3
          Male,15,22,100,82.2,100,82.2,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3
          Female,0,127,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3
4940 Telemarketers 4940 (SOC 41-9041),330,162,100,10.7,22.7,18.9,68.2,20,0,10.7,1.2,3.5,0,10.7,6.1,39.6,0,10.7,0,10.7
          Male,130,100,39.4,23.9,0,10.7,37.9,23.5,0,10.7,1.2,3.5,0,10.7,0,10.7,0,10.7,0,10.7
          Female,195,123,59.1,24.6,22.7,18.9,30.3,23.8,0,10.7,0,10.7,0,10.7,6.1,39.6,0,10.7,0,10.7
"4950 Door-to-door sales workers, news and street vendors, and related workers 4950 (SOC 41-9091)",735,209,100,5,17,8.6,63.9,14.2,1.4,2.6,0.5,1.1,0,5,0,5,8.2,8.6,8.2,9.3
          Male,260,111,35.4,11.2,0,5,34.7,11.2,0.5,1.5,0,5,0,5,0,5,0,5,0,5
          Female,475,154,64.6,11.1,17,8.6,29.3,11.9,0.5,1.3,0.5,1.1,0,5,0,5,8.2,8.6,8.2,9.3
"4965 Sales and related workers, all other 4965 (SOC 41-9099)",395,121,100,9.1,31.6,16.4,63.3,18.1,0,9.1,0,9.1,0,9.1,0,9.1,0,9.1,5.1,9
          Male,155,72,39.2,15.1,15.2,9.9,22.8,12.3,0,9.1,0,9.1,0,9.1,0,9.1,0,9.1,0,9.1
          Female,240,100,60.8,15.3,15.2,16.7,40.5,17.2,0,9.1,0,9.1,0,9.1,0,9.1,0,9.1,5.1,9
5000 First-line supervisors of office and administrative support workers 5000 (SOC 43-1011),"7,670",604,100,0.5,16.8,2.4,77.4,2.8,0,0.5,1.1,0.7,0,0.5,2.3,2,1.3,0.8,1.2,1.1
          Male,"2,295",368,29.9,3.7,4.8,1.2,22.8,3.5,0,0.5,0.6,0.6,0,0.5,1,1.9,0.7,0.5,0.1,0.2
          Female,"5,375",455,70.1,3.7,12.1,2.4,54.6,3.6,0,0.5,0.5,0.5,0,0.5,1.3,1.9,0.6,0.6,1.1,1
"5010 Switchboard operators, including answering service 5010 (SOC 43-2011)",65,41,100,39.5,15.4,32.8,69.2,35.7,0,39.5,0,39.5,0,39.5,0,39.5,0,39.5,15.4,24.4
          Male,0,127,0,39.5,0,39.5,0,39.5,0,39.5,0,39.5,0,39.5,0,39.5,0,39.5,0,39.5
          Female,65,41,100,39.5,15.4,32.8,69.2,35.7,0,39.5,0,39.5,0,39.5,0,39.5,0,39.5,15.4,24.4
5020 Telephone operators 5020 (SOC 43-2021),190,90,100,17.8,0,17.8,84.2,23.9,0,17.8,0,17.8,0,17.8,0,17.8,15.8,23.7,0,17.8
          Male,0,127,0,17.8,0,17.8,0,17.8,0,17.8,0,17.8,0,17.8,0,17.8,0,17.8,0,17.8
          Female,190,90,100,17.8,0,17.8,84.2,23.9,0,17.8,0,17.8,0,17.8,0,17.8,15.8,23.7,0,17.8
"5030 Communications equipment operators, all other 5030 (SOC 43-2099)",65,49,100,39.5,0,39.5,100,39.5,0,39.5,0,39.5,0,39.5,0,39.5,0,39.5,0,39.5
          Male,40,43,61.5,39.8,0,39.5,61.5,39.8,0,39.5,0,39.5,0,39.5,0,39.5,0,39.5,0,39.5
          Female,25,30,38.5,42.6,0,39.5,38.5,42.6,0,39.5,0,39.5,0,39.5,0,39.5,0,39.5,0,39.5
5100 Bill and account collectors 5100 (SOC 43-3011),305,123,100,11.6,13.1,12.8,77,16,0,11.6,1.3,2.7,0,11.6,8.2,43.1,0,11.6,0,11.6
          Male,110,85,36.1,20.3,3.3,4.9,32.8,20.8,0,11.6,0,11.6,0,11.6,0,11.6,0,11.6,0,11.6
          Female,195,84,63.9,20.3,9.8,10.5,44.3,18.7,0,11.6,1.3,2.7,0,11.6,8.2,43.1,0,11.6,0,11.6
5110 Billing and posting clerks 5110 (SOC 43-3021),"1,340",257,100,2.8,6.3,4.1,81.3,7,0,2.8,4.9,4.4,0,2.8,0.7,9.6,0.7,1.3,5.6,4
          Male,70,57,5.2,4.2,1.1,1.7,2.2,2.5,0,2.8,0,2.8,0,2.8,0,2.8,0,2.8,2.2,3.2
          Female,"1,270",255,94.8,4.1,5.6,3.8,79.1,7.1,0,2.8,4.9,4.4,0,2.8,0.7,9.6,0.7,1.3,3.7,3.2
"5120 Bookkeeping, accounting, and auditing clerks 5120 (SOC 43-3031)","4,405",482,100,0.8,21.6,4.3,67.5,4.5,0,0.8,5.9,2.9,0,0.8,1.7,3.1,2,1.4,1.2,1
          Male,675,175,15.3,3.5,1.8,1.1,11.4,2.6,0,0.8,0.6,0.8,0,0.8,0.3,3,1.1,1.2,0.1,0.4
          Female,"3,730",426,84.7,3.4,19.8,4.2,56.2,4.9,0,0.8,5.4,2.8,0,0.8,1.2,3.1,0.9,0.9,1.1,0.9
5140 Payroll and timekeeping clerks 5140 (SOC 43-3051),785,217,100,4.7,22.9,14.3,72,14.3,3.2,4.3,0,4.7,0,4.7,1.9,16.5,0,4.7,0,4.7
          Male,50,62,6.4,7.6,0,4.7,6.4,7.6,0,4.7,0,4.7,0,4.7,0,4.7,0,4.7,0,4.7
          Female,735,213,93.6,7.5,22.9,14.3,65.6,14.7,3.2,4.3,0,4.7,0,4.7,1.9,16.5,0,4.7,0,4.7
5150 Procurement clerks 5150 (SOC 43-3061),245,109,100,14.2,28.6,15.6,53.1,21.7,0,14.2,0,14.2,0,14.2,6.1,52.9,12.2,16.5,0,14.2
          Male,120,69,49,21,28.6,15.6,14.3,18.6,0,14.2,0,14.2,0,14.2,6.1,74.1,0,14.2,0,14.2
          Female,125,80,51,20.9,0,14.2,38.8,21.1,0,14.2,0,14.2,0,14.2,0,14.2,12.2,16.5,0,14.2
5160 Tellers 5160 (SOC 43-3071),"1,125",268,100,3.3,4.9,4.5,71.1,11.3,1.3,2.4,6.7,5.3,0,3.3,5.2,12.4,7.1,6.4,3.6,4.9
          Male,170,86,15.1,7.1,0,3.3,6.2,4.3,0,3.3,3.1,3.8,0,3.3,0.9,11.5,1.3,2.3,3.6,4.9
          Female,950,246,84.4,7.2,4.9,4.5,64.9,12,1.3,2.4,3.6,3.3,0,3.3,4.4,19.1,5.8,6.1,0,3.3
"5165 Financial clerks, all other 5165 (SOC 43-3099)",385,139,100,9.3,28.6,16.6,61,19,0,9.3,5.2,7.4,0,9.3,0,9.3,5.2,7.9,0,9.3
          Male,125,85,32.5,17.5,9.1,14.1,15.6,12.8,0,9.3,3.9,6.3,0,9.3,0,9.3,5.2,7.9,0,9.3
          Female,260,108,67.5,17.6,19.5,13.4,45.5,18.3,0,9.3,2.6,4.1,0,9.3,0,9.3,0,9.3,0,9.3
5200 Brokerage clerks 5200 (SOC 43-4011),20,30,100,71.2,0,71.2,50,50,0,71.2,50,50,0,71.2,0,71.2,0,71.2,0,71.2
          Male,0,127,0,71.2,0,71.2,0,71.2,0,71.2,0,71.2,0,71.2,0,71.2,0,71.2,0,71.2
          Female,20,30,100,71.2,0,71.2,50,50,0,71.2,50,50,0,71.2,0,71.2,0,71.2,0,71.2
"5220 Court, municipal, and license clerks 5220 (SOC 43-4031)",335,115,100,10.6,17.9,15,80.6,14.9,0,10.6,0,10.6,0,10.6,0,10.6,0,10.6,0,10.6
          Male,110,75,32.8,20.9,7.5,11.6,25.4,18.6,0,10.6,0,10.6,0,10.6,0,10.6,0,10.6,0,10.6
          Female,220,107,65.7,20.7,10.4,9.4,56.7,19.7,0,10.6,0,10.6,0,10.6,0,10.6,0,10.6,0,10.6
"5230 Credit authorizers, checkers, and clerks 5230 (SOC 43-4041)",120,71,100,26.3,8.3,11.7,95.8,15.6,0,26.3,0,26.3,0,26.3,0,26.3,0,26.3,0,26.3
          Male,40,34,33.3,28.5,8.3,11.7,29.2,27.2,0,26.3,0,26.3,0,26.3,0,26.3,0,26.3,0,26.3
          Female,80,66,66.7,29.6,0,26.3,66.7,29.6,0,26.3,0,26.3,0,26.3,0,26.3,0,26.3,0,26.3
5240 Customer service representatives 5240 (SOC 43-4051),"6,820",675,100,0.5,12.3,3,73.9,4.1,0,0.5,3.2,1.4,0,0.5,2.1,2.3,4.5,2.3,4.3,1.6
          Male,"2,500",386,36.7,4.4,5,2,27.1,4.1,0,0.5,0.9,0.8,0,0.5,0.7,2.1,1.4,1.3,1.6,1.1
          Female,"4,325",521,63.4,4.4,7.3,2.3,46.8,4.4,0,0.5,2.3,1.2,0,0.5,1.2,2,3.2,1.9,2.6,1.2
"5250 Eligibility interviewers, government programs 5250 (SOC 43-4061)",200,101,100,17,0,17,92.5,12.5,0,17,0,17,0,17,0,17,7.5,12.5,0,17
          Male,90,68,45,22.2,0,17,45,22.2,0,17,0,17,0,17,0,17,0,17,0,17
          Female,115,63,57.5,22.3,0,17,47.5,21.3,0,17,0,17,0,17,0,17,7.5,12.5,0,17
5260 File clerks 5260 (SOC 43-4071),"1,915",325,100,1.9,13.6,4.1,76.5,6.4,0,1.9,4.7,3.8,0,1.9,1,6.9,1.3,1.8,2.9,3
          Male,860,226,44.9,8.1,6,2.9,32.9,8.6,0,1.9,3.7,3.6,0,1.9,0.8,6.9,1.3,1.8,0,1.9
          Female,"1,055",219,55.1,8.1,7.6,3.5,43.3,7.9,0,1.9,1,1.4,0,1.9,0.2,6.6,0,1.9,2.9,3
"5300 Hotel, motel, and resort desk clerks 5300 (SOC 43-4081)",285,127,100,12.3,17.5,14.9,63.2,22.8,0,12.3,8.8,11.6,0,12.3,0,12.3,5.3,10.6,5.3,8.8
          Male,80,56,28.1,17.7,7,10.8,10.5,12,0,12.3,0,12.3,0,12.3,0,12.3,5.3,10.6,5.3,8.8
          Female,205,110,71.9,18.3,10.5,13.7,52.6,23.6,0,12.3,8.8,11.6,0,12.3,0,12.3,0,12.3,0,12.3
"5310 Interviewers, except eligibility and loan 5310 (SOC 43-4111)",660,201,100,5.5,6.8,5.7,81.8,10.7,0,5.5,3.8,5.3,0,5.5,0,5.5,0,5.5,8.3,7.6
          Male,155,86,23.5,12.8,4.5,4.1,10.6,10.7,0,5.5,3.8,5.3,0,5.5,0,5.5,0,5.5,5.3,7.9
          Female,505,189,76.5,12.7,2.3,2.8,71.2,13.1,0,5.5,0,5.5,0,5.5,0,5.5,0,5.5,3,5.3
"5320 Library assistants, clerical 5320 (SOC 43-4121)",570,233,100,6.4,11.4,8.4,63.2,18.6,0,6.4,18.4,13,0,6.4,0,6.4,0,6.4,6.1,7.1
          Male,285,145,50,14.8,3.5,4.3,28.1,16.2,0,6.4,14.9,11.9,0,6.4,0,6.4,0,6.4,3.5,6.3
          Female,280,134,49.1,15,7.9,7.4,36,13.8,0,6.4,3.5,5.3,0,6.4,0,6.4,0,6.4,2.6,4.1
5330 Loan interviewers and clerks 5330 (SOC 43-4131),470,137,100,7.7,13.8,10,83,11.3,0,7.7,0,7.7,0,7.7,0,7.7,0,7.7,3.2,6.2
          Male,30,30,6.4,6.3,0.9,0.7,6.4,6.6,0,7.7,0,7.7,0,7.7,0,7.7,0,7.7,0,7.7
          Female,440,136,93.6,6.6,13.8,10.3,76.6,13.5,0,7.7,0,7.7,0,7.7,0,7.7,0,7.7,3.2,6.2
5340 New accounts clerks 5340 (SOC 43-4141),120,105,100,26.3,0,26.3,100,26.3,0,26.3,0,26.3,0,26.3,0,26.3,0,26.3,0,26.3
          Male,0,127,0,26.3,0,26.3,0,26.3,0,26.3,0,26.3,0,26.3,0,26.3,0,26.3,0,26.3
          Female,120,105,100,26.3,0,26.3,100,26.3,0,26.3,0,26.3,0,26.3,0,26.3,0,26.3,0,26.3
5350 Correspondence clerks and order clerks 5350 (SOC 43-4XXX),410,142,100,8.7,13.4,12,85.4,12,0,8.7,0,8.7,0,8.7,0,8.7,0,8.7,1,4.6
          Male,175,102,42.7,21.2,8.5,10.9,35.4,18.9,0,8.7,0,8.7,0,8.7,0,8.7,0,8.7,0,8.7
          Female,230,118,56.1,20.8,4.9,5.7,50,21.8,0,8.7,0,8.7,0,8.7,0,8.7,0,8.7,1,4.6
"5360 Human resources assistants, except payroll and timekeeping 5360 (SOC 43-4161)",700,213,100,5.2,4.3,4.8,95.7,4.9,0,5.2,0,5.2,0,5.2,0,5.2,0,5.2,0,5.2
          Male,35,40,5,5.9,0,5.2,5,5.9,0,5.2,0,5.2,0,5.2,0,5.2,0,5.2,0,5.2
          Female,665,213,95,5.9,4.3,4.8,90.7,8,0,5.2,0,5.2,0,5.2,0,5.2,0,5.2,0,5.2
5400 Receptionists and information clerks 5400 (SOC 43-4171),"5,515",555,100,0.7,15.4,3,68.3,4.4,0.3,0.5,3.4,1.6,0,0.7,2.3,3,4.3,2,6,2.1
          Male,920,243,16.7,4.1,2.9,1.5,10.2,3.4,0,0.7,0.8,0.8,0,0.7,1.1,2.9,0.5,0.7,1.2,1.1
          Female,"4,595",509,83.3,4.1,12.5,2.7,58.1,5.1,0.3,0.5,2.6,1.5,0,0.7,1.2,3.4,3.8,1.9,4.8,2.4
5410 Reservation and transportation ticket agents and travel clerks 5410 (SOC 43-4181),455,160,100,7.9,17.6,11.6,71.4,14.1,0,7.9,7.7,8.9,0,7.9,0.9,28,0,7.9,2.2,3.8
          Male,155,73,34.1,13.7,13.2,9.7,15.4,10.9,0,7.9,3.3,7,0,7.9,0,7.9,0,7.9,2.2,3.8
          Female,300,136,65.9,13.8,3.3,4.5,56,15.2,0,7.9,4.4,6.8,0,7.9,0.9,28,0,7.9,0,7.9
"5420 Information and record clerks, all other 5420 (SOC 43-4199)",370,133,100,9.6,5.4,7.4,64.9,24.1,17.6,24.3,1.1,3.6,0,9.6,9.2,36.4,0,9.6,0,9.6
          Male,10,16,2.7,4.6,0,9.6,2.7,4.6,0,9.6,0,9.6,0,9.6,0,9.6,0,9.6,0,9.6
          Female,360,133,97.3,5.3,5.4,7.4,62.2,23.6,17.6,24.3,1.1,3.6,0,9.6,9.2,36.5,0,9.6,0,9.6
5500 Cargo and freight agents 5500 (SOC 43-5011),85,104,100,33.9,11.8,27.8,88.2,30.1,0,33.9,0,33.9,0,33.9,0,33.9,0,33.9,0,33.9
          Male,85,104,100,33.9,11.8,27.8,88.2,30.1,0,33.9,0,33.9,0,33.9,0,33.9,0,33.9,0,33.9
          Female,0,127,0,33.9,0,33.9,0,33.9,0,33.9,0,33.9,0,33.9,0,33.9,0,33.9,0,33.9
5510 Couriers and messengers 5510 (SOC 43-5021),"1,365",225,100,2.7,7.7,5.5,75.1,10,0,2.7,3.7,3.9,0,2.7,0,2.7,3.3,3.2,10.3,6.1
          Male,"1,180",214,86.4,7.6,5.9,4.9,64.1,11.4,0,2.7,3.7,3.9,0,2.7,0,2.7,2.6,2.8,10.3,6.1
          Female,185,109,13.6,7.6,1.5,1.8,11,6.9,0,2.7,0,2.7,0,2.7,0,2.7,0.7,1.3,0,2.7
5520 Dispatchers 5520 (SOC 43-5030),"1,275",309,100,2.9,14.5,7.6,80.4,7.8,0,2.9,0.8,1.2,0,2.9,0.3,10,1.6,1.6,3.1,3.9
          Male,570,217,44.7,11.5,9.8,6.2,33.3,9.3,0,2.9,0,2.9,0,2.9,0.3,10,1.6,1.6,0,2.9
          Female,705,203,55.3,11.5,4.7,4.2,47.1,11.6,0,2.9,0.8,1.2,0,2.9,0,2.9,0,2.9,3.1,3.9
"5530 Meter readers, utilities 5530 (SOC 43-5041)",75,48,100,36.7,46.7,37.4,40,36.8,0,36.7,13.3,30.6,0,36.7,0,36.7,0,36.7,0,36.7
          Male,60,44,80,30.6,26.7,31.9,40,36.8,0,36.7,13.3,30.6,0,36.7,0,36.7,0,36.7,0,36.7
          Female,15,24,20,30.2,20,30.2,0,36.7,0,36.7,0,36.7,0,36.7,0,36.7,0,36.7,0,36.7
5540 Postal service clerks 5540 (SOC 43-5051),"1,250",272,100,3,4.4,3.3,84.8,7.4,0,3,6.8,4.5,0,3,0.8,10.2,0,3,3.6,5.3
          Male,795,244,63.6,10.4,4,3,52.4,11.4,0,3,4,3.7,0,3,0,3,0,3,3.6,5.3
          Female,460,138,36.8,10.4,0.3,0.7,32.4,9.6,0,3,3.2,3.2,0,3,0.8,10.2,0,3,0,3
5550 Postal service mail carriers 5550 (SOC 43-5052),"1,750",314,100,2.1,3.7,2.1,84.9,5,0,2.1,4,2.5,0,2.1,2.6,7.7,2.6,1.7,2,2
          Male,"1,345",296,76.9,7.1,2.3,1.6,66.6,7.9,0,2.1,3.7,2.6,0,2.1,2,7.6,0,2.1,2,2
          Female,410,129,23.4,7.2,1.4,1.4,18.3,6.4,0,2.1,0.2,0.1,0,2.1,0.6,7.4,2.6,1.7,0,2.1
"5560 Postal service mail sorters, processors, and processing machine operators 5560 (SOC 43-5053)",570,198,100,6.4,3.5,4.4,87.7,8.4,0,6.4,7,6.9,0,6.4,0,6.4,0,6.4,1.8,3.8
          Male,250,124,43.9,14.3,0.7,1.2,43,14.5,0,6.4,0,6.4,0,6.4,0,6.4,0,6.4,0,6.4
          Female,320,131,56.1,14.4,2.6,3.7,44.7,14.7,0,6.4,7,6.9,0,6.4,0,6.4,0,6.4,1.8,3.8
"5600 Production, planning, and expediting clerks 5600 (SOC 43-5061)",790,231,100,4.6,11.4,7.4,77.2,9.6,0,4.6,0,4.6,0.5,1.8,1.3,16.3,2.5,3.2,6.3,6
          Male,260,141,32.9,14.3,8.2,6.7,21.5,11.7,0,4.6,0,4.6,0,4.6,0,4.6,1.3,1.7,3.2,4.5
          Female,530,180,67.1,14.3,3.8,3.7,55.7,14,0,4.6,0,4.6,0.5,1.8,1.3,16.3,1.9,2.6,3.2,4.1
"5610 Shipping, receiving, and traffic clerks 5610 (SOC 43-5071)",985,221,100,3.7,15.2,6.5,69.5,9.8,0,3.7,5.1,3.9,0,3.7,1.5,13.2,5.1,5,4.1,3.8
          Male,790,197,80.2,9.2,10.7,5.8,55.3,12.5,0,3.7,5.1,3.9,0,3.7,1.5,13.2,5.1,5.1,2.5,2.9
          Female,195,102,19.8,9.3,4.6,4.4,13.7,7.9,0,3.7,0,3.7,0,3.7,0,3.7,0.4,1.2,1.5,2.6
5620 Stock clerks and order fillers 5620 (SOC 43-5081),"5,790",561,100,0.6,10.6,2.7,71.9,4.9,0.4,0.5,0.9,0.7,0,0.6,0.4,2.3,3.5,2.1,12.2,3.5
          Male,"4,495",484,77.6,3.7,8.4,2.5,59.8,5,0.1,0.2,0.5,0.5,0,0.6,0.4,2.3,1,1.1,7.4,2.7
          Female,"1,295",248,22.4,3.7,2.2,1.2,12.3,2.6,0.3,0.5,0.3,0.4,0,0.6,0,0.6,2.5,1.8,4.7,2.2
"5630 Weighers, measurers, checkers, and samplers, recordkeeping 5630 (SOC 43-5111)",110,74,100,28.2,13.6,22.6,27.3,28.1,0,28.2,0,28.2,0,28.2,0,28.2,18.2,28.5,40.9,37.4
          Male,30,35,27.3,28.1,0,28.2,27.3,28.1,0,28.2,0,28.2,0,28.2,0,28.2,0,28.2,0,28.2
          Female,80,63,72.7,28.5,13.6,22.6,0,28.2,0,28.2,0,28.2,0,28.2,0,28.2,18.2,28.5,40.9,37.4
5700 Secretaries and administrative assistants 5700 (SOC 43-6010),"17,560",855,100,0.2,15,1.8,74.9,2.2,0.1,0.1,1.9,0.6,0,0.2,1.7,0.7,1.9,0.7,4.6,1.3
          Male,860,225,4.9,1.2,1,0.6,3.5,1,0,0.2,0.1,0.2,0,0.2,0,0.2,0,0.2,0.3,0.4
          Female,"16,700",787,95.1,1.2,14,1.7,71.4,2.2,0.1,0.1,1.7,0.6,0,0.2,1.7,0.7,1.9,0.7,4.3,1.2
5800 Computer operators 5800 (SOC 43-9011),555,151,100,6.5,18,10.9,72.1,14.1,0,6.5,4.5,7.7,0,6.5,5.4,23.6,0,6.5,0,6.5
          Male,315,129,56.8,15.5,9.9,8.5,39.6,14.8,0,6.5,4.5,7.7,0,6.5,2.7,23.3,0,6.5,0,6.5
          Female,240,100,43.2,15.7,8.1,8.8,32.4,14.8,0,6.5,0,6.5,0,6.5,2.7,23.3,0,6.5,0,6.5
5810 Data entry keyers 5810 (SOC 43-9021),"2,535",336,100,1.5,13.6,5.1,76.7,6.4,0,1.5,2.6,2.3,0,1.5,1,5.1,3.4,2.6,3.2,2.5
          Male,720,226,28.4,7.6,5.5,3.5,20.5,6.7,0,1.5,0,1.5,0,1.5,0.6,5.1,1,1.3,1,1.3
          Female,"1,815",281,71.6,7.6,8.1,3.8,56.2,7.5,0,1.5,2.6,2.3,0,1.5,0.4,5,2.4,2.2,2,2.4
5820 Word processors and typists 5820 (SOC 43-9022),"2,345",340,100,1.6,6.8,3.4,84,5.1,0,1.6,3.2,2.3,0,1.6,1.1,5.6,1.1,1.7,3.8,2.6
          Male,370,121,15.8,4.7,1.1,1,13.2,4.5,0,1.6,1.3,1.4,0,1.6,0.4,5.5,0,1.6,0,1.6
          Female,"1,975",310,84.2,4.7,6,3.1,70.8,6.5,0,1.6,2.1,2,0,1.6,0.6,5.6,1.1,1.7,3.8,2.6
5840 Insurance claims and policy processing clerks 5840 (SOC 43-9041),415,139,100,8.6,14.5,11.1,62.7,16.3,0,8.6,7.2,10.3,0,8.6,0,8.6,0,8.6,15.7,10.2
          Male,40,41,9.6,10.6,0,8.6,7.2,9.1,0,8.6,0,8.6,0,8.6,0,8.6,0,8.6,2.4,4.6
          Female,375,142,90.4,10.8,14.5,11.1,55.4,14.5,0,8.6,7.2,10.3,0,8.6,0,8.6,0,8.6,13.3,11.3
"5850 Mail clerks and mail machine operators, except postal service 5850 (SOC 43-9051)","1,245",266,100,3,2.8,2.6,85.9,6.8,0,3,4,3.5,0,3,1.1,10.3,3.2,3.1,3.2,3.6
          Male,775,196,62.2,9.3,1.6,2.4,57,9.3,0,3,2.4,2.7,0,3,0,3,1.2,2,0,3
          Female,470,158,37.8,9.3,1.2,1.7,28.9,9.5,0,3,1.6,2.6,0,3,1.1,14.5,2,2.4,3.2,3.6
"5860 Office clerks, general 5860 (SOC 43-9061)","6,130",623,100,0.6,14.4,3.7,73.2,4.7,0.2,0.4,3.3,1.4,0,0.6,4.2,2.5,2.8,1.5,2,1
          Male,"1,650",333,26.9,4.2,2.2,1,20.1,4.3,0,0.6,1.8,1.1,0,0.6,1.7,1.4,0.8,0.9,0.2,0.4
          Female,"4,480",482,73.1,4.2,12.3,3.4,52.9,4.6,0.2,0.4,1.5,1.2,0,0.6,2.4,1.9,2,1.2,1.7,1
"5900 Office machine operators, except computer 5900 (SOC 43-9071)",450,168,100,8,15.6,11.6,82.2,11.8,0,8,0,8,0,8,0,8,2.2,3.5,0,8
          Male,265,126,58.9,16.7,11.1,11.2,46.7,15.1,0,8,0,8,0,8,0,8,0,8,0,8
          Female,185,99,41.1,16.6,4.4,5.4,35.6,15.3,0,8,0,8,0,8,0,8,2.2,3.5,0,8
5910 Proofreaders and copy markers 5910 (SOC 43-9081),100,74,100,30.3,20,26,80,26.8,0,30.3,0,30.3,0,30.3,0,30.3,0,30.3,0,30.3
          Male,45,46,45,36.4,4,17,40,39.8,0,30.3,0,30.3,0,30.3,0,30.3,0,30.3,0,30.3
